titles,preds
Mobile tagging and accessibility information sharing using a geospatial digital library,25
Does KFC sell rat? Analysis of tweets in the wake of a rumor outbreak,0
The effectiveness and acceptance of an affective information literacy tutorial,24
On the concept and types of knowledge,7
How do users respond to online rumor rebuttals?,1
Library Escape: User-Centered design of an information literacy game,26
Predicting juvenile offending: A comparison of data mining methods,5
Understanding continuance intention toward crowdsourcing games: A longitudinal investigation,29
An analysis of services for the mobile tourist,4
Creative Information Seeking Part I: A Conceptual Framework,16
Learning efficacy and user acceptance of a game-based social skills learning environment,29
A study of social interaction during mobile information seeking,4
“Gone too soon”: did Twitter grieve for Michael Jackson?,23
“I played games as there was nothing else to do”: Understanding motivations for using mobile content sharing games,23
"Handbook of Research on Digital Libraries: Design, Development, and Impact: Design, Development, and Impact",15
Social tags for resource discovery: a comparison between machine learning and user-centric approaches,16
Evaluation of hospital portals using knowledge management mechanisms,15
Collaborative querying for enhanced information retrieval,22
Components of game experience: An automatic text analysis of online reviews,13
An analysis of rumor and counter-rumor messages in social media,4
Understanding news sharing in social media from the diffusion of innovations perspective,29
Evaluating the use of a mobile annotation system for geography education,5
A Java-based digital library portal for geography education,4
Graph-based cluster analysis to identify similar questions: A design science approach,12
Characteristics of social network fatigue,13
Social navigation in digital libraries by bookmarking,16
Examining the effectiveness of gamification in human computation,5
Sharing mobile multimedia annotations to support inquiry-based learning using MobiTOP,5
Why the whole is less than the sum of its parts: Examining knowledge management in acquisitions,1
From digital archives to virtual exhibitions,7
The prevalence and use of Web 2.0 in libraries,24
TagNSearch: Searching and navigating geo-referenced collections of photographs,28
Automatic multidocument summarization of research abstracts: design and user evaluation,11
The effect of similarity measures on the quality of query clusters,24
Exploring hierarchically organized georeferenced multimedia annotations in the MobiTOP system,5
A digital library for geography examination resources,4
Quadripartite graph-based clustering of questions,16
Social tags as news event detectors,16
Supporting holistic understanding of geographical problems: Fieldwork and G-Portal,5
Towards a role-based metadata scheme for educational digital libraries: A case study in Singapore,7
Tertiary students’ acceptance of a game to teach information literacy,16
On organizing and accessing geospatial and georeferenced Web resources using the G-Portal system,7
Applying scenario-based design and claims analysis to the design of a digital library of geography examination resources,5
Intergenerational partnerships in the design of a digital library of geography examination resources,16
Enjoyment of a mobile information sharing game: Perspectives from needs satisfaction and information quality,15
Choosing communication portfolios to accomplish tasks: The effects of individual differences,29
Applying question classification to Yahoo! Answers,5
Why do people play human computation games? Effects of perceived enjoyment and perceived output quality,1
Sharing in social news websites: Examining the influence of news attributes and news sharers,17
Comparative evaluation of interfaces for presenting location-based information on mobile devices,16
SPLASH: blending gaming and content sharing in a location-based mobile application,28
Do games motivate mobile content sharing?,0
A multifaceted approach to exploring mobile annotations,4
The efficacy of tags in social tagging systems,24
Creative information seeking: Part II: empirical verification,11
GeogDL: a web-based approach to geography examination revision,28
Query clustering using a hybrid query similarity measure.,22
Uncovering temporal differences in COVID‐19 tweets,5
Message content in the life of rumors: Comparing three rumor types,2
Using affective embodied agents in information literacy education,5
Investigating influential factors influencing users to share news in social media: A diffusion of innovations perspective,5
Investigating user perceptions of engagement and information quality in mobile human computation games,5
Usability and playability heuristics for evaluation of an instructional game,21
Sharing hierarchical mobile multimedia content using the MobiTOP system,5
Understanding location-based information sharing in a mobile human computation game,29
A factor analytic approach towards determining mobile tourism services,4
Evaluating open source portals,5
Constructing a taxonomy to support multi-document summarization of dissertation abstracts,5
Collaborative querying using the query graph visualizer,22
Understanding the determinants of human computation game acceptance: The effects of aesthetic experience and output quality,5
Look before you leap: Learning from the experience of a flagging KM initiative at a healthcare organisation in Asia,3
Designing a virtual exhibition using Scalable Vector Graphics,5
On querying geospatial and georeferenced metadata resources in G-Portal,7
An interactive mobile app game to address aggression (RegnaTales): pilot quantitative study,4
Interfaces for accessing location‐based information on mobile devices: An empirical evaluation,13
Collective rumor correction on the death hoax of a political figure in social media,16
Presenting social media information on mobile devices using multiple contexts,5
Investigating Factors Influencing Non-use and Abandonment of Microblogging Services.,17
Relevancy rankings: pay for performance search engines in the hot seat,22
Resource annotation framework in a georeferenced and geospatial digital library,2
Public services or private gains: Motives behind participation on a mobile crowdsourcing application in a smart city,16
From storyboard to software: user evaluation of an information literacy game,7
Investigating the use of YouTube as a self-directed learning platform,5
The design of an information literacy game,24
Player acceptance of human computation games: an aesthetic perspective,2
A Survey and Typology of Human Computation Games,4
Evaluating game genres for tagging images,29
A trend analysis of the question answering domain,4
Measuring knowledge management projects: Fitting the mosaic pieces together,5
Multi‐document summarization of news articles using an event‐based framework,23
Automatic multi-document summarization for digital libraries,11
Evaluating the effectiveness of a collaborative querying environment,5
Managing geography learning objects using personalized project spaces in g-portal,29
Supporting field study with personalized project spaces in a geographical digital library,29
Are pay for performance search engines relevant?,0
A hierarchical framework for multi-document summarization of dissertation abstracts,4
Investigating the use of a mobile crowdsourcing application for public engagement in a smart city,5
Experimental evaluation of affective embodied agents in an information literacy game,16
An investigation of reward systems in human computation games,4
""" We Want to Hear Your Voice"": Power Relations in Participatory Design",23
Influence of playability and usability in a mobile human computation game,15
